,population (millions),NOC,GDP,GDP/capita,GNI,number of 65+,Host
129,0.017972,PLW,245547016.592446,13662.754094838972,256600000.0,9.153127086579122,0
130,9.74964,PNG,23936886990.1421,2455.155984235531,23577972803.4682,3.0335889325144314,0
131,37.89907,POL,559958349913.782,14774.989199307054,576680513885.683,18.37403925742769,0
132,984.213438,PRE,1429189947530.94,1452.113832580022,1270000795765.97,2.8259367253223786,0
133,3.281538,PRI,92193492135.2885,28094.598366768416,70508700000.0,21.705035870375415,0
134,10.297081,PRT,203905156212.017,19802.2290212165,225467491361.699,22.296726616018656,0
135,6.618695,PRY,40343536418.7875,6095.39137530699,34274587388.5542,6.162241952529917,0
136,4.803269,PSE,14037400000.0,2922.468010848445,18024400000.0,3.4323082883761042,0
137,2.566819,PSS,9084336513.09125,3539.1418378511494,9711281165.20501,4.633711999170958,0
138,2.760385,QAT,161416823761.21,58476.19942914122,141366857850.765,1.2558393122698464,0
139,19.26525,ROU,209968716122.827,10898.831633268554,247472072973.61,18.685892993862005,0
140,144.073139,RUS,1422617966849.71,9874.276195576678,1454357778439.47,15.306070342508468,0
141,13.146362,RWA,10807279943.5566,822.0738135429863,9947623076.1239,3.1021053581211286,0
142,35.997107,SAU,651027175187.614,18085.541573871866,717195466666.667,2.396634262858957,0
143,44.440486,SDN,81244322707.0479,1828.160085986636,25561386740.1828,3.337985547682804,0
144,16.43612,SEN,22859676610.5224,1390.8195249561577,23900827505.7072,3.1731089819251745,0
145,5.685807,SGP,335362889147.512,58982.46091496106,299065956367.326,13.154192535905635,0
146,0.691191,SLB,1437357546.29561,2079.537416279451,1572053315.314,3.462863376403917,0
147,8.23397,SLE,4976753933.906,604.4173022133917,3985252721.5383,3.1471574465294387,0
148,6.292731,SLV,23671706843.75,3761.7541324664917,23248020000.0,8.103778788573674,0
149,0.034007,SMR,1408416997.36628,41415.50261317611,1391503078.53238,19.698885523568677,0
150,16.537016,SOM,7018182533.58429,424.3923168233186,6844967094.26668,2.6158407296697295,0
151,6.899126,SRB,45203666159.9796,6552.085896094607,51732845129.0333,20.74464214742563,0
152,1151.203345,SSA,1811250010261.07,1573.3536721621235,1665961306566.69,3.0570778093074424,0
153,1151.301807,SSF,1812781503505.22,1574.5493427382592,1667154019460.93,3.0574696214300303,0
154,0.218641,STP,370633944.436221,1695.1712827704823,477536661.68245,3.7884019923070236,0
155,0.607065,SUR,4416576774.46583,7275.294695734114,2446062312.93336,7.114724123446418,0
156,5.458827,SVK,96139533846.4664,17611.756856640888,105402420036.534,16.824182191522098,0
157,2.102419,SVN,48205866431.4746,22928.762740193368,53346714724.9651,20.100988432848066,0
158,10.353442,SWE,537888988025.757,51952.673132834185,566101960738.874,20.03259399144748,0
159,1.180655,SWZ,4336136540.79741,3672.6533498756285,3590271045.45758,3.947723932901652,0
160,0.098462,SYC,1531237483.84046,15551.557797327498,1193727936.87736,7.638479819625846,0
161,20.772595,SYR,15096250725.9744,726.7387982086206,10617637274.1472,4.55117427552985,0
162,0.044276,TCA,802388490.184892,18122.425019985818,894683000.0,9.973800704670701,0
163,16.644701,TCD,10357639640.7284,622.2785041754969,9948225335.74479,2.032634890828018,0
164,8.44258,TGO,5187639195.4239,614.4613607953847,7591296131.24711,3.0581528395348343,0
165,71.475664,THA,431857370046.306,6042.019701227344,488207658410.479,13.850365909157555,0
166,9.543207,TJK,11425168167.0003,1197.2042696967906,9516009649.38626,3.2361867451895363,0
167,1.299995,TLS,2585667331.05522,1988.982519975246,2386754507.99882,5.372020661617929,0
168,0.105254,TON,488137409.112216,4637.708867237501,526124410.198693,6.18218785034298,0
169,1.518147,TTO,21857597913.9171,14397.550378136702,20003843325.1119,10.67439450856867,0
170,12.161723,TUN,45037824611.1901,3703.243743603608,41141125017.7784,8.578488426352088,0
171,84.135428,TUR,1015719678024.54,12072.437285569404,710897360514.225,8.182095418828796,0
172,0.011069,TUV,46535494.1224665,4204.128116583837,73714747.780607,5.998735206432379,0
173,61.704518,TZA,61522715270.8575,997.0536561173284,62347075302.0884,3.127678592352022,0
174,44.404611,UGA,40768765939.9636,918.1201010850788,33392751549.69,1.6648158453634467,0
175,44.132049,UKR,98118346734.0677,2223.2900795987903,160040174348.512,17.190058408572874,0
176,3.429086,URY,52115108173.4899,15197.958923599437,50655049788.7276,15.33813966753823,0
177,331.50108,USA,19377380521000.0,58453.44612753599,21472360000000.0,16.22340023748942,0
178,34.23205,UZB,108163900036.816,3159.7260472807206,59702701802.1801,4.8675291137983265,0
179,0.104632,VCT,815975935.995509,7798.531386148683,867488481.481481,10.674554629558834,0
180,96.648685,VNM,323972206194.572,3352.060156789221,331798335861.466,8.42740902268872,0
181,0.311685,VUT,817564741.897816,2623.048083474713,985206873.808286,3.713364454497329,0
182,0.214929,WSM,907782067.617315,4223.6369574013515,838372748.165172,5.014213996249924,0
183,1.790133,XKX,7144367590.23064,3990.97027440455,7903802849.00285,9.6892242084806,0
184,58.801927,ZAF,336715285679.696,5726.262775022594,331987598189.906,6.000534642342589,0
185,18.927715,ZMB,23418945736.8993,1237.283303182624,17601655545.9248,1.7298601548047399,0
186,15.669666,ZWE,19009139115.6883,1213.1170578676215,21031595049.0709,3.37626213602766,0
